SeqID,CV
11110_4,3.5
11112_18,2.5
11116_16,5.0
11117_2,4.0
11118_107,14.5
11120_49,3.5
11121_56,6.0
11122_97,4.0
11126_102,4.0
11128_29,3.5
11129_66,6.5
11130_158,4.0
11134_30,4.0
11135_5,7.0
11137_43,5.0
11138_16,2.5
11139_4,4.0
11140_56,4.5
11142_11,3.5
11143_32,2.0
11144_10,3.0
11145_72,3.5
11146_4,3.5
11147_17,4.0
11149_3,2.0
11150_3,8.0
11152_46,4.5
11154_3,7.5
11155_16,3.5
11157_35,2.5
11158_40,3.5
11159_14,3.5
11160_56,4.5
11161_5,3.0
11162_37,7.5
11163_7,3.0
11164_7,5.5
11167_6,8.0
11168_3,4.0
11171_25,4.0
11173_29,2.5
11174_8,3.0
11175_45,3.5
11177_16,3.5
11178_21,3.0
11179_7,3.0
11180_17,9.0
11184_51,6.0
11185_145,6.5
11186_12,3.5
11187_11,4.5
11190_129,2.5
11192_168,5.5
11193_27,3.5
11194_6,5.0
11196_31,3.0
11198_37,2.0
11200_52,4.5
11201_19,5.5
11202_70,2.0
11203_97,4.5
11204_80,4.0
11205_10,3.0
11207_3,3.5
11208_15,4.0
11211_7,5.5
11212_7,2.5
11214_40,5.0
11215_6,9.0
11217_16,5.5
11218_84,3.0
11219_95,4.0
11220_53,3.5
11222_62,3.0
11223_1,4.5
11226_16,4.0
11227_31,6.0
11228_37,4.0
11229_16,3.0
11230_12,2.5
11231_12,7.5
11232_46,4.0
11237_49,5.0
11239_49,8.5
11241_8,4.5
11242_33,3.5
11243_90,2.0
11245_43,10.5
11246_3,3.5
11247_20,3.0
11248_43,3.5
11252_30,3.5
11254_13,3.0
11257_1,3.5
11258_41,3.0
11260_47,4.0
11262_39,5.0
11263_57,3.0
11264_33,4.0
11265_8,3.0
11266_8,6.5
11270_17,9.0
11273_176,4.0
11275_94,3.0
11277_23,3.0
11278_4,5.5
11279_42,4.0
11280_6,3.0
11281_6,8.0
11282_16,3.5
11283_13,6.5
11284_24,2.5
11285_8,6.0
11286_78,12.0
11287_14,3.5
11288_26,3.5
11289_31,3.0
11291_73,3.5
11292_13,4.0
11293_14,2.5
11294_7,14.0
11297_54,4.0
11300_32,3.5
11302_237,4.5
11303_7,3.5
11307_33,5.5
11308_8,3.5
11310_8,2.5
11311_79,3.0
11312_40,4.5
11313_100,8.5
11315_148,4.0
11318_20,3.0
11319_106,3.5
11320_29,2.5
11324_3,3.5
11325_8,8.5
11327_56,11.5
11328_9,3.5
11330_15,8.5
11333_82,8.0
11334_7,4.0
11336_9,3.5
11338_49,3.5
11342_59,4.5
11347_9,8.0
11348_132,3.5
11350_30,2.5
11351_233,4.5
11352_42,5.0
11353_143,4.5
11354_21,5.5
11355_10,10.5
11356_19,4.5
11358_15,6.5
11360_39,6.0
11361_73,8.0
11363_58,4.0
11364_18,3.0
11365_17,4.0
11368_32,11.0
11369_23,3.5
11370_20,4.0
11371_1,4.0
11372_2,6.0
11375_49,2.5
11377_19,3.0
11378_37,7.0
11380_84,14.0
11381_56,3.5
11382_5,3.0
11383_41,9.0
11387_3,2.5
11388_75,5.0
11390_24,3.5
11391_69,5.5
11395_5,4.0
11396_39,6.5
11401_181,2.5
11402_17,5.5
11405_150,7.5
11406_82,3.0
11407_57,2.5
11416_23,5.0
11421_10,7.5
11422_2,3.0
11424_4,3.0
11425_31,5.0
11428_31,7.0
11429_80,6.5
11430_49,7.0
11431_235,4.0
11432_11,9.0
11433_11,4.0
11436_6,3.0
11438_6,4.0
11439_88,5.0
11440_58,3.0
11441_11,4.0
11442_1,4.5
11444_49,3.0
11448_34,7.5
11449_22,6.5
11450_110,3.0
11454_87,6.5
11456_2,11.5
11457_53,8.5
11458_30,7.0
11459_81,4.5
11462_8,3.0
11464_9,6.0
11465_4,4.0
11468_15,3.0
11476_43,4.5
11480_1,3.5
11481_25,4.5
11486_26,2.0
11487_4,2.5
11490_42,4.0
11493_169,4.5
11494_4,3.0
11510_31,5.5
11510_51,5.0
11513_92,4.5
11514_196,5.5
11516_7,3.0
11530_37,8.0
11531_24,5.0
11534_6,3.5
11536_9,3.5
11537_12,4.0
11538_216,3.0
11539_4,5.5
11540_37,2.5
11542_11,3.0
11543_84,8.0
11544_39,4.5
11545_9,6.5
11546_7,3.5
11547_84,6.0
11548_84,4.0
11549_6,4.5
11551_16,3.5
11556_19,4.0
11557_3,3.0
11560_76,2.5
11561_32,3.5
11562_9,3.5
11563_51,4.0
11565_58,4.5
11566_48,4.5
11567_23,5.0
11568_2,4.5
11570_94,5.5
11571_75,4.5
11572_4,6.5
11573_3,4.5
11582_63,3.5
11586_2,3.0
11587_5,4.0
11590_5,3.0
11591_43,2.5
11592_1,3.0
11593_21,5.5
11596_47,4.0
11601_26,3.0
11602_12,8.0
11606_22,3.0
11607_15,5.5
11608_5,8.0
11614_29,3.0
11615_16,10.5
11616_9,2.5
11617_1,3.0
11618_83,5.0
11626_7,3.0
11629_36,3.0
11633_89,8.0
11634_32,9.0
11636_33,5.0
11638_42,3.5
11643_73,4.0
11645_9,5.0
11646_4,3.5
11647_6,11.0
11649_3,4.0
11651_24,3.5
11653_69,4.0
11654_77,7.5
11656_110,7.5
11657_86,4.0
11659_31,10.5
11661_11,3.5
11664_32,5.5
11666_72,12.5
11667_29,3.5
11669_39,2.0
11670_18,4.0
11671_19,5.5
11672_17,8.5
11677_17,3.5
11678_105,3.0
11681_8,6.0
11682_7,12.0
11683_19,4.5
11690_47,3.0
11692_21,3.0
11696_7,5.5
11699_16,8.5
11708_2,2.5
11709_29,7.0
11712_207,6.0
11715_1,4.0
11716_28,4.0
11814_29,3.0
11816_84,6.5
