Organ,SeqID
Conventional,25954_3
Conventional,9789_52
Conventional,5688_65
Conventional,6086_15
Conventional,5115_31
Conventional,14112_40
Conventional,17797_1
Conventional,11402_17
Conventional,4811_33
Conventional,7955_195
Conventional,17747_45
Conventional,6262_14
Conventional,5084_154
Conventional,25066_32
Conventional,21832_31
Conventional,14067_6
Conventional,3184_25
Conventional,2647_66
Conventional,14197_2
Conventional,12597_68
Conventional,8922_4
Conventional,9580_5
Conventional,3351_1
Conventional,8098_37
Conventional,13055_53
Conventional,25962_51
Conventional,24934_96
Conventional,8337_65
Conventional,23164_8
Conventional,17782_23
Conventional,2643_57
Conventional,18309_18
Conventional,23181_2
Conventional,25061_8
Conventional,14675_20
Conventional,13056_18
Conventional,4468_21
Conventional,8859_51
Conventional,13577_25
Conventional,24255_38
Conventional,22151_48
Conventional,11167_6
Conventional,8697_38
Conventional,19267_14
Conventional,18158_45
Conventional,11422_2
Conventional,18242_8
Conventional,6392_7
Conventional,6947_4
Conventional,8374_5
Conventional,4541_49
Conventional,3179_51
Conventional,21152_25
Conventional,18877_15
Conventional,25095_1
Conventional,9383_24
Conventional,11551_16
Conventional,12650_43
Conventional,20237_38
Conventional,25948_18
Conventional,25307_8
Conventional,6649_51
Conventional,9013_60
Conventional,2617_56
Conventional,19249_18
Conventional,22363_31
Conventional,5593_11
Conventional,21381_73
Conventional,5242_37
Conventional,24959_20
Conventional,3817_18
Conventional,25060_18
Conventional,18321_38
Conventional,14204_55
Conventional,9751_72
Conventional,18918_86
Conventional,13622_16
Conventional,9872_23
Conventional,11592_1
Conventional,2844_53
Conventional,3642_4
Conventional,8073_3
Conventional,22783_40
Conventional,19153_53
Conventional,16825_20
Conventional,3808_76
Conventional,9816_37
Conventional,9095_5
Conventional,17712_7
Conventional,8900_28
Conventional,25088_42
Conventional,2654_19
Conventional,17344_23
Conventional,4240_31
Conventional,9855_10
Conventional,11601_26
Conventional,2645_54
Conventional,21328_2
Conventional,19275_68
Conventional,23343_6
Conventional,10048_7
Conventional,25275_30
Conventional,3809_1
Conventional,13669_6
Conventional,21207_1
Conventional,24424_25
Conventional,25444_29
Conventional,24432_3
Conventional,22479_64
Conventional,23031_6
Conventional,5030_52
Conventional,8957_72
Conventional,24675_2
Conventional,6409_57
Conventional,10753_31
Conventional,11582_63
Conventional,10015_119
Conventional,15390_3
Conventional,7054_87
Conventional,22149_2
Conventional,3009_3
Conventional,2949_6
Conventional,22858_3
Conventional,9504_19
Conventional,17411_55
Conventional,22584_2
Conventional,3728_52
Conventional,25102_23
Conventional,21999_61
Conventional,16923_20
Conventional,13054_87
Conventional,11615_16
Conventional,2441_2
Conventional,9513_9
Conventional,3438_10
Conventional,8055_33
Conventional,18322_15
Conventional,21210_33
Conventional,7867_154
Conventional,6927_7
Conventional,23694_3
Conventional,24462_4
Conventional,13681_173
Conventional,5226_36
Conventional,3350_53
Conventional,9840_2
Conventional,20558_4
Conventional,25111_24
Conventional,13615_60
Conventional,9392_43
Conventional,12363_70
Conventional,23401_3
Conventional,6543_182
Conventional,20461_58
Conventional,21555_17
Conventional,3466_8
Conventional,9843_5
Conventional,12688_115
Conventional,6951_26
Conventional,9936_27
Conventional,8795_48
Conventional,6895_1
Conventional,19247_1
Conventional,21926_24
Conventional,24982_33
Conventional,4217_49
Conventional,11320_29
Conventional,11348_132
Conventional,22960_8
Conventional,3310_62
Conventional,19262_219
Conventional,21569_49
Conventional,18323_39
Conventional,9765_4
Conventional,8255_34
Conventional,8064_125
Conventional,12535_2
Conventional,20534_6
Conventional,10040_63
Conventional,23365_7
Conventional,6586_19
Conventional,13665_35
Conventional,17467_1
Conventional,3293_2
Conventional,3761_4
Conventional,6035_2
Conventional,13992_12
Conventional,5108_72
Conventional,21116_13
Conventional,13044_5
Conventional,13510_7
Conventional,19347_37
Conventional,3327_27
Conventional,25281_50
Conventional,5129_12
Conventional,15688_30
Conventional,11105_171
Conventional,9248_36
Conventional,6274_15
Conventional,22810_41
Conventional,12356_65
Conventional,13991_47
Conventional,3222_11
Conventional,6448_36
Conventional,19197_95
Conventional,9058_1
Conventional,24468_36
Conventional,4123_60
Conventional,24900_46
Conventional,9747_48
Conventional,22146_20
Conventional,24226_30
Conventional,24419_3
Conventional,23915_18
Conventional,11570_94
Conventional,9897_9
Conventional,13590_1
Conventional,22821_50
Conventional,13041_47
Conventional,11629_36
Conventional,2649_77
Conventional,11288_26
Conventional,20512_2
Conventional,18892_48
Conventional,13735_1
Conventional,13976_9
Conventional,20998_19
Conventional,12400_25
Conventional,8297_8
Conventional,3055_54
Conventional,3387_1
Conventional,12678_66
Conventional,20968_22
Conventional,21949_4
Conventional,11252_30
Conventional,8984_28
Conventional,21833_6
Conventional,9844_138
Conventional,23557_110
Conventional,7986_98
Conventional,17743_14
Conventional,5532_53
Conventional,12529_32
Conventional,6470_19
Conventional,14038_130
Conventional,3302_58
Conventional,24908_19
Conventional,12583_77
Conventional,5029_3
Conventional,17380_2
